id,voen,supplier_name,contract_count,total_amount_azn,last_contract_date,tender_types,buyer_examples,source
etender-sup-1701,1700912711,"""KAİZEN"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",9,18032660.74,2020-10-20,Açıq Tender | -,AZƏRBAYCAN DÖVLƏT BƏDƏN TƏRBİYƏSİ VƏ İDMAN AKADEMİYASI | AZƏRBAYCAN RESPUBLİKASININ KƏND TƏSƏRRÜFATI NAZİRLİYİ,etender.gov.az/api/contracts
etender-sup-1702,1404832841,“Euro Brand” Məhdud Məsuliyyətli Cəmiyyəti,9,182503.97,2020-04-29,Kotirovka | -,DÖVLƏT GÖMRÜK KOMİTƏSİ AKSİZLİ MALLAR ÜZRƏ BAŞ GÖMRÜK İDARƏSİ | AZƏRBAYCAN RESPUBLİKASI ƏDLİYYƏ NAZİRLİYİNİN ƏDLİYYƏ AKADEMİYASI | AZƏRBAYCAN RESPUBLİKASI DÖVLƏT STATİSTİKA KOMİTƏSİ | AZƏRBAYCAN RESPUBLİKASI ƏRAZİLƏRİNİN MİNALARDAN TƏMİZLƏNMƏSİ ÜZRƏ MİLLİ AGENTLİK | RADİO TELEVİZİYA YAYIMI VƏ PEYK RABİTƏSİ İSTEHSALAT BİRLİYİ,etender.gov.az/api/contracts
etender-sup-1703,1305949891,SANTORQ    MMC,9,195290.00,2020-03-13,-,VALİDEYN HİMAYƏSİNDƏN MƏHRUM OLMUŞ UŞAQLAR ÜÇÜN 2 №-Lİ ÜMUMİ ORTA İNTERNAT MƏKTƏBİ | 8 №-Lİ SANATORİYA TİPLİ İNTERNAT MƏKTƏBİ | S.RÜSTƏM ADINA XARİCİ DİLLƏR TƏMAYÜLLÜ GİMNAZİYA | A.S.MAKARENKO ADINA HUMANİTAR FƏNLƏR TƏMAYÜLLÜ RESPUBLİKA  ORTA ÜMUMTƏHSİL İNTERNAT MƏKTƏBİ | SAĞLAMLIQ İMKANLARI MƏHDUD UŞAQLAR ÜÇÜN 12 №-Lİ XÜSUSİ İNTERNAT MƏKTƏBİ,etender.gov.az/api/contracts
etender-sup-1704,1102080351,"""Berkan LTD"" MMC",9,97399.35,2019-12-02,-,"""AZƏRBAYCAN RESPUBLİKASININ GƏNCLƏR FONDU"" PUBLİK HÜQUQİ ŞƏXS | AZƏRBAYCAN RESPUBLİKASI XARİCİ İŞLƏR NAZİRLİYİ",etender.gov.az/api/contracts
etender-sup-1705,1603547691,"""BETTİNA SERVİCE"" Məhdud Məsuliyyətli Cəmiyyəti",9,120122.78,2019-12-05,-,BAKI ŞƏHƏR BAŞ SƏHİYYƏ İDARƏSİ | AZƏRBAYCAN RESPUBLIKASI SƏHİYYƏ NAZİRLİYİ | Respublika Perinatal  Mərkəzi | AZƏRBAYCAN RESPUBLİKASININ PREZİDENTİ  YANINDA QEYRİ-HÖKUMƏT TƏŞKİLATLARINA DÖVLƏT DƏSTƏYİ ŞURASININ KATİBLİYİ | AZƏRBAYCAN MİLLİ ELMLƏR AKADEMİİASI AKAD.Z.M.BÜNYADOV ADINA ŞƏRQŞÜNASLIQ İNSTİTUTU,etender.gov.az/api/contracts
etender-sup-1706,1302925382,FİZİKİ ŞƏXS RƏHİMOV ELÇİN AĞARƏHİM OĞLU,9,146582.00,2019-10-24,-,"""İÇƏRİŞƏHƏR "" MUZEY MƏRKƏZİ | ""MAQSUD İBRAHİMBƏYOV YARADICILIQ MƏRKƏZİ""  | ""ƏNƏNƏVİ İNCƏSƏNƏT MƏRKƏZİ"" | ""İÇƏRİŞƏHƏR"" DÖVLƏT TARİX-MEMARLIQ QORUĞU İDARƏSİ",etender.gov.az/api/contracts
etender-sup-1707,6200378391,"""ELEMENT 5"" MMC",9,439200.00,2019-07-03,-,NİZAMİ RAYON  MƏNZİL KOMMUNAL TƏSƏRRÜFATI BİRLİYİ,etender.gov.az/api/contracts
etender-sup-1708,1506737181,"""BEYNƏLXALQ AUDİT MƏRKƏZİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,17630.00,2026-06-29,Kotirovka | Bir mənbə,"""AZƏRBAYCAN İLAHİYYAT İNSTİTUTU"" PUBLİK HÜQUQİ ŞƏXS | ""HÜQUQİ EKSPERTİZA VƏ QANUNVERİCİLİK TƏŞƏBBÜSLƏRİ MƏRKƏZİ"" PUBLİK HÜQUQİ ŞƏXSİ | NAXÇIVAN MUXTAR RESPUBLİKASININ ƏMƏK VƏ ƏHALİNİN SOSİAL MÜDAFİƏSİ NAZİRLİYİNİN TABELİYİNDƏ DÖVLƏT TİBBİ-SOSİAL EKSPERTİZA VƏ REABİLİTASİYA AGENTLİYİ PUBLİK HÜQUQİ ŞƏXSİ | NAXÇIVAN MUXTAR RESPUBLİKASININ DÖVLƏT ŞƏHƏRSALMA VƏ ARXİTEKTURA KOMİTƏSİNİN TABELİYİNDƏ LAYİHƏ PLANLAŞDIRMA MƏRKƏZİ PUBLİK HÜQUQİ ŞƏXSİ | MİNGƏÇEVİR ŞƏHƏR MƏNZİL-KOMMUNAL TƏSƏRRÜFATI İSTEHSALAT BİRLİYİ",etender.gov.az/api/contracts
etender-sup-1709,1308358601,"""İMOTORS"" Məhdud Məsuliyyətli Cəmiyyəti",8,19239.40,2026-06-08,Bir mənbə | Kotirovka,"""ANBAR TƏSƏRRÜFATI İDARƏSİ"" | Azərbaycan Dövlət Su Ehtiyatları Agentliyi Regional Su Meliorasiya Xidməti Publik Hüquqi Şəxsi Qarabağ Su Meliorasiya Sistemlərinin İstismarı İdarəsi | SALYAN SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | ŞƏKİ SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | AŞAĞI  MUĞAN MELİORATİV  SİSTEMLƏRİNİN   İSTİSMARI  İDARƏSİ",etender.gov.az/api/contracts
etender-sup-1710,2003155671,"""İNAM ÖZƏL MÜHAFİZƏ ŞİRKƏTİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,202031.99,2026-06-11,Kotirovka | Açıq Tender | Birbaşa | Bir mənbə,"AZƏRBAYCAN RESPUBLİKASININ AİLƏ, QADIN VƏ UŞAQ PROBLEMLƏRİ ÜZRƏ DÖVLƏT KOMİTƏSİNİN ZƏRDAB UŞAQ VƏ AİLƏLƏRƏ DƏSTƏK MƏRKƏZİ | AZƏRBAYCAN RESPUBLİKASININ MƏRKƏZİ BANKI | MƏDƏNİYYƏT NAZİRLİYİNİN AZƏRBAYCAN DÖVLƏT RƏSM QALEREYASI | AZƏRBAYCAN RESPUBLİKASININ KİÇİK VƏ ORTA BİZNESİN İNKİŞAFI AGENTLİYİ PUBLİK HÜQUQİ ŞƏXS | ƏLİBƏY HÜSEYNZADƏ ADINA AZƏRBAYCAN DÖVLƏT MƏDƏNİYYƏT VƏ İNCƏSƏNƏT UNİVERSİTETİ",etender.gov.az/api/contracts
etender-sup-1711,1002044371,"""HYDROTECH"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,194583.30,2026-06-19,Kotirovka | Bir mənbə | Açıq Tender | Təkliflər sorğusu,"""ŞAHDAĞ TURİZM MƏRKƏZİ"" QAPALI SƏHMDAR CƏMİYYƏTİ | RUSİYA FEDERASİYASI SƏHİYYƏ NAZİRLİYİNİN FEDERAL DÖVLƏT MUXTAR ALİ TƏHSİL MÜƏSSİSƏSİ İ. M. SEÇENOV ADINA BİRİNCİ MOSKVA DÖVLƏT TİBB UNİVERSİTETİNİN (SEÇENOV UNİVERSİTETİNİN) BAKI FİLİALI | AZƏRBAYCAN RESPUBLİKASI DÖVLƏT NEFT FONDU | ""MİDA"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",etender.gov.az/api/contracts
etender-sup-1712,1805591121,"""BIZNESIN AVTOMATLAŞDIRMA VƏ İNKIŞAF MƏRKƏZI"" Məhdud Məsuliyyətli Cəmiyyəti",8,122977.51,2026-04-28,Kotirovka | Bir mənbə | Açıq Tender,"“QARABAĞ DİRÇƏLİŞ FONDU” PUBLİK HÜQUQİ ŞƏXSİ | ""ŞUŞA ŞƏHƏRİ DÖVLƏT QORUĞU İDARƏSİ"" PUBLİK HÜQUQİ ŞƏXSİ | ""TƏHSİLİN İNKİŞAFI FONDU"" PUBLİK HÜQUQİ ŞƏXSİ | ""AQRAR TƏDARÜK VƏ TƏCHİZAT"" ACIQ SƏHMDAR CƏMİYYƏTİ",etender.gov.az/api/contracts
etender-sup-1713,2008225131,"""MAGTECH"" Məhdud Məsuliyyətli Cəmiyyəti",8,234914.52,2026-06-11,Açıq Tender | Kotirovka | Bir mənbə,"""AZƏRBAYCAN DÖVLƏT İQTİSAD UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXS | AZƏRBAYCAN DÖVLƏT İNFORMASİYA AGENTLİYİ (AZƏRTAC) PUBLİK HÜQUQİ ŞƏXSİ | “QARABAĞ DİRÇƏLİŞ FONDU” PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASININ EKOLOGİYA VƏ TƏBİİ SƏRVƏTLƏR NAZİRLİYİ YANINDA BİOLOJİ MÜXTƏLİFLİYİN QORUNMASI XİDMƏTİ | ""BAKI MÜHƏNDİSLİK UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXSİ",etender.gov.az/api/contracts
etender-sup-1714,6500235842,Fiziki Şəxs Bağırov Marif Zakir oğlu,8,264786.97,2026-05-25,Kotirovka | Açıq Tender | -,"""XILLI BALIQ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | NEFTÇALA RAYON İCRA HAKİMİYYƏTİ | AZƏRBAYCAN RESPUBLİKASI KƏND TƏSƏRRÜFATI NAZİRLİYİNİN TABELİYİNDƏ ""BALIQÇILIQ VƏ AKVAKULTURA MƏRKƏZİ"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASININ EKOLOGİYA VƏ TƏBİİ SƏRVƏTLƏR NAZİRLİYİ YANINDA BİOLOJİ MÜXTƏLİFLİYİN QORUNMASI XİDMƏTİ | SU HÖVZƏLƏRİNDƏ BİOLOJİ RESURSLARİN ARTIRILMASI VƏ MÜHAFİZƏSİ DEPARTAMENTİ",etender.gov.az/api/contracts
etender-sup-1715,3104906511,"""EVENT ASSİSTANT"" Məhdud Məsuliyyətli Cəmiyyəti",8,17630.00,2026-06-11,Birbaşa | Bir mənbə,"""İQTİSADİ ZONALARIN İNKİŞAFI AGENTLİYİ"" PUBLİK HÜQUQİ ŞƏXSİ | “AZƏRBAYCAN RESPUBLİKASININ QEYRİ-HÖKUMƏT TƏŞKİLATLARINA DÖVLƏT DƏSTƏYİ AGENTLİYİ” PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASININ PREZİDENTİ YANINDA ANTİİNHİSAR VƏ İSTEHLAK BAZARINA NƏZARƏT DÖVLƏT AGENTLİYİ | AZƏRBAYCAN RESPUBLİKASININ İQTİSADİYYAT NAZİRLİYİ YANINDA ANTİİNHİSAR VƏ İSTEHLAK BAZARINA NƏZARƏT DÖVLƏT XİDMƏTİ",etender.gov.az/api/contracts
etender-sup-1716,1401877451,"""VORLD GİGİYENA""  Məhdud Məsuliyyətli Cəmiyyəti",8,196128.67,2026-06-11,Kotirovka | Açıq Tender | -,"AZƏRBAYCAN DÖVLƏT SU EHTİYATLARI AGENTLİYİ YANINDA SULARIN İSTİFADƏSİNƏ VƏ MÜHAFİZƏSİNƏ DÖVLƏT NƏZARƏTİ XİDMƏTİNİN TABELİYİNDƏ MƏRKƏZİ LABORATORİYA | AZƏRBAYCAN RESPUBLİKASI İQTİSADİYYAT NAZİRLİYİ YANINDA DÖVLƏT VERGİ XİDMƏTİNİN TƏDRİS MƏRKƏZİ | AZƏRBAYCAN RESPUBLİKASI İQTİSADİYYAT NAZİRLİYİ YANINDA DÖVLƏT VERGİ XİDMƏTİNİN TƏDRİS MƏRKƏZİ

 | ""BAKI KONQRES MƏRKƏZİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | ""Bakı Metropoliteni"" Qapalı Səhmdar Cəmiyyəti",etender.gov.az/api/contracts
etender-sup-1717,1502073491,"""MADİNA GROUP MM"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,943854.67,2026-06-06,Açıq Tender | Bir mənbə | Kotirovka,"""AZƏRBAYCAN YERÜSTÜ NƏQLİYYAT AGENTLİYİ"" PUBLİK HÜQUQİ ŞƏXSİ | KƏLBƏCƏR RAYONUNDA BƏRPA, TİKİNTİ VƏ İDARƏETMƏ XİDMƏTİ | QARABAĞ İQTİSADİ RAYONUNDA BƏRPA,TİKİNTİ VƏ İDARƏETMƏ XİDMƏTİ PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASI FÖVQƏLADƏ HALLAR NAZİRLİYİNİN MADDİ TEXNİKİ-TƏCHİZAT  İDARƏSİ | AZƏRBAYCAN RESPUBLİKASI FÖVQƏLADƏ HALLAR NAZİRLİYİNİN TİBBİ XİDMƏTİNİN TİBB MƏRKƏZİ",etender.gov.az/api/contracts
etender-sup-1718,5400020871,İsmayıllı Kommunal Müəssisələri  Kombinatı,8,228714.26,2026-06-01,Birbaşa | Bir mənbə | -,"""LAHIC"" DÖVLƏT TARİX-MƏDƏNİYYƏT QORUĞU | İSMAYILLI SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | AZƏRBAYCAN RESPUBLİKASININ DÖVLƏT TURİZM AGENTLİYİ | İSMAYILLI RAYONU GİGİYENA VƏ EPİDEMİOLOGİYA MƏRKƏZİ | AZƏRBAYCAN RESPUBLİKASI AİLƏ, QADIN VƏ UŞAQ PROBLEMLƏRİ ÜZRƏ DÖVLƏT KOMİTƏSİNİN İSMAYILLI UŞAQ VƏ AİLƏLƏRƏ DƏSTƏK MƏRKƏZİ",etender.gov.az/api/contracts
etender-sup-1719,1902670801,"""AMFA CONSTRUCTİON"" QAPALI SƏHMDAR CƏMİYYƏTİ",8,37159462.93,2026-06-08,"Açıq Tender | Təkliflər sorğusu | Açıq Tender (3,0 milyon ABŞ dollarının manat ekvivalentindən çox)","""AZƏRİŞIQ"" AÇIQ SƏHMDAR CƏMİYYƏTİ",etender.gov.az/api/contracts
etender-sup-1720,1503188321,"""FİBONACCİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,502176.42,2026-06-03,Bir mənbə | Açıq Tender,"AZƏRBAYCAN RESPUBLİKASI GƏNCLƏR VƏ İDMAN NAZİRLİYİ | ""AZƏRBAYCAN RESPUBLİKASININ SAHİBKARLIĞIN İNKİŞAFI FONDU"" PUBLİK HÜQUQİ ŞƏXS",etender.gov.az/api/contracts
etender-sup-1721,3103482191,"""UNI ENERGY SERVICES"" Məhdud Məsuliyyətli Cəmiyyəti",8,33536000.54,2026-06-03,"Açıq Tender | Açıq Tender (3,0 milyon ABŞ dollarının manat ekvivalentindən çox)","""AZƏRİŞIQ"" AÇIQ SƏHMDAR CƏMİYYƏTİ | ""AZƏRENERJİ"" AÇIQ TİPLİ SƏHMDAR CƏMİYYƏTİ",etender.gov.az/api/contracts
etender-sup-1722,3200022331,"""AĞDAM-KİMYA"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏT",8,118464.51,2025-12-17,Bir mənbə | Kotirovka,"""COĞRAFİYA İNSTİTUTU"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN MİLLİ ELMLƏR AKADEMİYASI AKADEMİK H.ƏLİYEV ADINA COĞRAFİYA İNSTİTUTU | ""SALYAN RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN MİLLİ ELƏMLƏR AKADEMİYASININ MİKROBOLOGİYA İNSTİTUTU | AZƏRBAYCAN RESPUBLİKASI ƏDLİYYƏ NAZİRLİYİ MƏHKƏMƏ EKSPERTİZASI MƏRKƏZİ",etender.gov.az/api/contracts
etender-sup-1723,1701377101,"""BAKI KRİSTAL ZALI"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ   ",8,484803.00,2026-06-02,Bir mənbə | -,"""AZƏRBAYCAN DÖVLƏT İQTİSAD UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXS | ""AZƏRBAYCAN DÖVLƏT NEFT VƏ SƏNAYE UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXSİ | ""BAKI KRİSTAL ZALI"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | ""ƏSASLI TİKİNTİ VƏ TƏCHİZAT"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | AZƏRBAYCAN DÖVLƏT İQTİSAD UNİVERSİTETİ",etender.gov.az/api/contracts
etender-sup-1724,2002538311,"""SSAL-2"" Məhdud Məsuliyyətli Cəmiyyəti",8,15107214.04,2025-11-26,Kotirovka | Açıq Tender | Təkliflər sorğusu,"""ELMİ-TƏDQİQAT MAMALIQ VƏ GİNEKOLOGİYA İNSTİTUTU"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASININ ƏDLİYYƏ NAZİRLİYİ  ""PENİTENSİAR XİDMƏTİN  TƏCHİZAT İDARƏSİ"" | AĞDAM, FÜZULİ VƏ XOCAVƏND RAYONLARINDA BƏRPA,TİKİNTİ VƏ İDARƏETMƏ XİDMƏTİ PUBLİK HÜQUQİ ŞƏXSİ | “CƏBRAYIL, QUBADLI VƏ ZƏNGİLAN RAYONLARINDA BƏRPA, TİKİNTİ VƏ İDARƏETMƏ XİDMƏTİ” PUBLİK HÜQUQİ ŞƏXSİ | ƏDLİYYƏ NAZİRLİYİNİN PENTENSİAR XİDMƏTİ",etender.gov.az/api/contracts
etender-sup-1725,7100065641,Siyəzən Sudan İstifadə Edənlər Birliyi,8,25627.50,2026-05-21,Bir mənbə | Birbaşa,SİYƏZƏN RAYON İCRA HAKİMİYYƏTİ SİYƏZƏN RAYON YAŞILLAŞDIRMA İDARƏSİ | ŞABRAN REGİONAL MEŞƏ TƏSƏRRÜFATI MƏRKƏZİ,etender.gov.az/api/contracts
etender-sup-1726,9900083471,“Azinko Development” Məhdud Məsuliyyətli Cəmiyyəti (Fairmont Baku Flame Towers) ,8,174024.96,2026-05-14,Bir mənbə | Birbaşa,"""BAKI DÖVLƏT UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXSİ | AKADEMİK M.TOPÇUBAŞOV ADINA ELMİ CƏRRAHİYƏ MƏRKƏZİ | AZƏRBAYCAN RESPUBLIKASI HESABLAMA  PALATASI | AZƏRBAYCAN RESPUBLİKASI XARİCİ İŞLƏR NAZİRLİYİ | AZƏRBAYCAN RESPUBLİKASI ALİ MƏHKƏMƏSİ",etender.gov.az/api/contracts
etender-sup-1727,1701207551,"""MYSUPPLY"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",8,1391595.12,2026-05-12,Kotirovka | Açıq Tender | Bir mənbə,"""BAKI DÖVLƏT UNİVERSİTETİ"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN MİLLİ ELMLƏR AKADEMİYASININ AKADEMİK Y.H.MƏMMƏDƏLİYEV ADINA NEFT-KİMYA PROSESLƏRİ İNSTİTUTU | ""AZƏRBAYCAN RESPUBLİKASI İQTİSADİYYAT NAZİRLİYİNİN TİKİNTİ-TƏCHİZAT BİRLİYİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | AZƏRBAYCAN RESPUBLİKASININ ELM VƏ TƏHSİL NAZİRLİYİ YANINDA MƏKTƏBƏQƏDƏR VƏ ÜMUMİ TƏHSİL ÜZRƏ DÖVLƏT AGENTLİYİ | ""ORDUBAD RAYON MƏRKƏZİ XƏSTƏXANASI""  PUBLİK HÜQUQİ ŞƏXSİ",etender.gov.az/api/contracts
