id,company_name,country,categories,stands,exhibitions,years,appearance_count,extra_json
expo-00766,NETAFİM LTD,Azərbaycan,MEDİA,1A330 | A1308,Caspian Agro Week,2022 | 2023,2,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A1308"", ""company_id"": ""4668"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""1A330"", ""company_id"": ""4668"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2023""}]}"
expo-00767,NEW HOLLAND,Azərbaycan,MEDİA | TƏRƏFDAŞ,1A320 | A1002/A1202/A1102,Caspian Agro Week,2022 | 2026,2,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A1002/A1202/A1102"", ""company_id"": ""5024"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2026"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""1A320"", ""company_id"": """", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2026""}]}"
expo-00768,NI GROUP MMC,Azərbaycan,MEDİA | TƏRƏFDAŞLAR,B1226,BakuBuild,2021 | 2022,2,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""B1226"", ""company_id"": ""6447"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""B1226"", ""company_id"": ""6447"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2022""}]}"
expo-00769,NİGAZ NATIONAL INDUSTRIAL GROUP,Azərbaycan,MEDİA,2210,Caspian Oil & Gas,2019,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""2210"", ""company_id"": ""4807"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2019""}]}"
expo-00770,NİLA KİMYA AZ,Azərbaycan,TƏRƏFDAŞLAR,B1336,BakuBuild,2021,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""B1336"", ""company_id"": """", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2021""}]}"
expo-00771,NİZAM MMC,Azərbaycan,NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ,1F040-7,InterFood Azerbaijan,2025,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2025"", ""category"": ""NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ"", ""stand"": ""1F040-7"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2025""}]}"
expo-00772,NOBEL ENERGY,Azərbaycan,MEDİA,1C124,Caspian Oil & Gas,2024,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1C124"", ""company_id"": ""8059"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2024""}]}"
expo-00773,NORM ASC,Azərbaycan,TƏRƏFDAŞLAR,2B100 | B2210,BakuBuild,2021 | 2025 | 2026,3,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""B2210"", ""company_id"": ""6800"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2025"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""2B100"", ""company_id"": ""6800"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2025""}, {""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2026"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""-"", ""company_id"": """", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2026""}]}"
expo-00774,NOV AZERBAIJAN,Azərbaycan,MEDİA,1C016,Caspian Oil & Gas,2024,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1C016"", ""company_id"": ""313762"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2024""}]}"
expo-00775,NOV AZERBAİJAN LLC AR BRANCH,Azərbaycan,MEDİA,3C003,Caspian Oil & Gas,2023,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""3C003"", ""company_id"": ""276400"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2023""}]}"
