id,company_name,country,category,stand,exhibition_site,exhibition_label,exhibition_year,exhibition_id,company_id,source_url
expo-raw-000034,URBAN.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4835,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000035,VİDEO.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4378,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000036,YELLOWPAGES.AZ,Azərbaycan,MEDİA,P120,bakubuild,BakuBuild,2019,183,5339,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000037,İTİCKET.AZ LLC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4373,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000038,"BOULEVARD HOTEL BAKU, AUTOGRAPH COLLECTION",Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2019,183,4863,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000039,GILAN HOSPITALITY GROUP (QAFQAZ HOTELS & RESORTS),Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2019,183,4290,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000040,GREENWICH TRAVEL CLUB,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2019,183,4816,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000041,"INTOURIST HOTEL BAKU, AUTOGRAPH COLLECTION",Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2019,183,4874,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000042,AGAH GROUP İNŞAAT ŞİRKƏTİ,Azərbaycan,TƏRƏFDAŞLAR,B1048,bakubuild,BakuBuild,2019,183,5950,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000043,ARCHİ GLASS,Azərbaycan,TƏRƏFDAŞLAR,B1314,bakubuild,BakuBuild,2019,183,5729,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000044,AZROS-PL,Azərbaycan,TƏRƏFDAŞLAR,B1332,bakubuild,BakuBuild,2019,183,5521,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000045,BAKI İNŞAAT SƏNAYE ASC,Azərbaycan,TƏRƏFDAŞLAR,B1015,bakubuild,BakuBuild,2019,183,5876,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000046,BAKI İNŞAAT İSGƏLƏ MMC,Azərbaycan,TƏRƏFDAŞLAR,B1109,bakubuild,BakuBuild,2019,183,5695,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000047,CASPİAN ELEKTRİK,Azərbaycan,TƏRƏFDAŞLAR,B1306,bakubuild,BakuBuild,2019,183,5520,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000048,CASPİNOX MMC - STAİNLESS STEEL,Azərbaycan,TƏRƏFDAŞLAR,B2206,bakubuild,BakuBuild,2019,183,5893,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000049,FAYTON LTD,Azərbaycan,TƏRƏFDAŞLAR,B2201,bakubuild,BakuBuild,2019,183,6010,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000050,FENİX CONSTRUCTİON,Azərbaycan,TƏRƏFDAŞLAR,B1328,bakubuild,BakuBuild,2019,183,5610,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000051,FÖVQƏLADƏ HALLAR NAZİRLİYİ. TİKİNTİDƏ TƏHLÜKƏSİZLİYƏ NƏZARƏT DÖVLƏT AGENTLİYİ S.Ə.DADAŞOV ADINA ETLKİMİ,Azərbaycan,TƏRƏFDAŞLAR,B1080,bakubuild,BakuBuild,2019,183,5697,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000052,FƏXRƏDDİN - K MMC,Azərbaycan,TƏRƏFDAŞLAR,B1324,bakubuild,BakuBuild,2019,183,5523,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000053,G-KOMPANİ,Azərbaycan,TƏRƏFDAŞLAR,B2100,bakubuild,BakuBuild,2019,183,5912,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000054,GENPOWER - AZƏRBAYCAN,Azərbaycan,TƏRƏFDAŞLAR,B2302,bakubuild,BakuBuild,2019,183,5941,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000055,GLOBAL SECURİTY SYSTEMS,Azərbaycan,TƏRƏFDAŞLAR,B1025,bakubuild,BakuBuild,2019,183,5872,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000056,GİLAN HOLDİNG,Azərbaycan,TƏRƏFDAŞLAR,B1108,bakubuild,BakuBuild,2019,183,5189,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000057,KENSİNGTON MMC,Azərbaycan,TƏRƏFDAŞLAR,B1224,bakubuild,BakuBuild,2019,183,5696,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000058,NABUCCO A&C,Azərbaycan,TƏRƏFDAŞLAR,B1114,bakubuild,BakuBuild,2019,183,4654,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000059,NB HOLDİNQ ASC,Azərbaycan,TƏRƏFDAŞLAR,B1122,bakubuild,BakuBuild,2019,183,5525,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000060,PANDA BOYA,Azərbaycan,TƏRƏFDAŞLAR,B1222,bakubuild,BakuBuild,2019,183,5617,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000061,QAZAX SEMENT ZAVODU MMC,Azərbaycan,TƏRƏFDAŞLAR,B1318,bakubuild,BakuBuild,2019,183,5700,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000062,TALEH-İ MMC,Azərbaycan,TƏRƏFDAŞLAR,B1208,bakubuild,BakuBuild,2019,183,5526,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000063,UNİVERSAL PRO,Azərbaycan,TƏRƏFDAŞLAR,B1212,bakubuild,BakuBuild,2019,183,5590,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000064,1 NEWS İNFORMASİYA AGENTLİYİ MMC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,4265,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000065,CİTYLİFE.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000066,CİTYMAG.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000067,FİNEKO AİA,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,4266,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000068,MYVİDEO.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,4374,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000069,MEMAR JURNALI,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000070,VİDEO.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,4378,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000071,İTİCKET.AZ LLC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2021,210,4373,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000072,CİTY MANSİON,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,6837,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000073,ALTİS GROUP OF COMPANIES,Azərbaycan,TƏRƏFDAŞLAR,B2114,bakubuild,BakuBuild,2021,210,6681,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000074,AMK FASAD,Azərbaycan,TƏRƏFDAŞLAR,B1116-1,bakubuild,BakuBuild,2021,210,6781,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000075,AZƏRBAYCAN MEMARLAR İTTİFAQI,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,5652,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000076,AZƏRBAYCAN RESPUBLİKASI SAHİBKARLAR (İŞƏGÖTÜRƏNLƏR) TƏŞKİLATLARI MİLLİ KONFEDERASİYASI,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,4292,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000077,AZƏRBAYCAN RESPUBLİKASININ KİÇİK VƏ ORTA BİZNESİN İNKİŞAFI AGENTLİYİ,Azərbaycan,TƏRƏFDAŞLAR,K1206,bakubuild,BakuBuild,2021,210,4316,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000078,AZƏRBAYCAN RESPUBLİKASININ MƏNZİL İNŞAATI DÖVLƏT AGENTLİYİ,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,5653,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000079,AZƏRBAYCAN RESPUBLİKASININ İXRACIN VƏ İNVESTİSİYALARIN TƏŞVİQİ AGENTLİYİ (AZPROMO),Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,4289,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000080,B2B GROUP MMC,Azərbaycan,TƏRƏFDAŞLAR,B1078,bakubuild,BakuBuild,2021,210,6678,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000081,BİRLƏŞMİŞ MİLLƏTLƏR TƏŞKİLATININ AZƏRBAYCANDAKI NÜMAYƏNDƏLİYİ,Azərbaycan,TƏRƏFDAŞLAR,B1066,bakubuild,BakuBuild,2021,210,6685,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000082,CASPİAN ENERGY GROUP,Azərbaycan,TƏRƏFDAŞLAR,B1208,bakubuild,BakuBuild,2021,210,6725,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000083,CASPİNOX MMC - STAİNLESS STEEL,Azərbaycan,TƏRƏFDAŞLAR,B1210,bakubuild,BakuBuild,2021,210,5893,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000084,CENGİZ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİNİN AZƏRBAYCAN RESPULİKASINDAKI FİLİALI,Azərbaycan,TƏRƏFDAŞLAR,B2072,bakubuild,BakuBuild,2021,210,6842,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000085,CYBERSPACE,Azərbaycan,TƏRƏFDAŞLAR,B1316,bakubuild,BakuBuild,2021,210,6734,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000086,EMBAWOOD MMC,Azərbaycan,TƏRƏFDAŞLAR,B1106,bakubuild,BakuBuild,2021,210,6671,https://bakubuild.az/az/exhibitors-list/year/2021
