id,name,entry_type,letter_group,org_kind,wikipedia_url,category_path,category_paths,found_in_category_url,source,source_url
gov-0108,Baş Dövlət Yol Polisi İdarəsi,organization,,state_body,https://az.wikipedia.org/wiki/Ba%C5%9F_D%C3%B6vl%C9%99t_Yol_Polisi_%C4%B0dar%C9%99si,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Daxili İşlər Nazirliyinin qurumları > Baş Dövlət Yol Polisi İdarəsi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Daxili İşlər Nazirliyinin qurumları > Baş Dövlət Yol Polisi İdarəsi,https://az.wikipedia.org/wiki/Kateqoriya%3ABa%C5%9F_D%C3%B6vl%C9%99t_Yol_Polisi_%C4%B0dar%C9%99si,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0109,Gəncə Şəhər Baş Polis İdarəsi,organization,,state_body,https://az.wikipedia.org/wiki/G%C9%99nc%C9%99_%C5%9E%C9%99h%C9%99r_Ba%C5%9F_Polis_%C4%B0dar%C9%99si,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Daxili İşlər Nazirliyinin qurumları > Gəncə Şəhər Baş Polis İdarəsi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Daxili İşlər Nazirliyinin qurumları > Gəncə Şəhər Baş Polis İdarəsi,https://az.wikipedia.org/wiki/Kateqoriya%3AG%C9%99nc%C9%99_%C5%9E%C9%99h%C9%99r_Ba%C5%9F_Polis_%C4%B0dar%C9%99si,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0110,Daxili Qoşunların Hərbi İnstitutu,organization,,state_body,https://az.wikipedia.org/wiki/Daxili_Qo%C5%9Funlar%C4%B1n_H%C9%99rbi_%C4%B0nstitutu,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Respublikası Daxili Qoşunları,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Respublikası Daxili Qoşunları | Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Daxili İşlər Nazirliyi > Azərbaycan Respublikası Daxili Qoşunları > Azərbaycan Daxili Qoşunlarının Ali Hərbi Məktəbi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Respublikas%C4%B1_Daxili_Qo%C5%9Funlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0111,Ekologiya və Təbii Sərvətlər Nazirliyi (Azərbaycan),organization,,ministry,https://az.wikipedia.org/wiki/Ekologiya_v%C9%99_T%C9%99bii_S%C9%99rv%C9%99tl%C9%99r_Nazirliyi_%28Az%C9%99rbaycan%29,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Ekologiya_v%C9%99_T%C9%99bii_S%C9%99rv%C9%99tl%C9%99r_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0112,Geoloji Kəşfiyyat Agentliyi (Azərbaycan),organization,,agency,https://az.wikipedia.org/wiki/Geoloji_K%C9%99%C5%9Ffiyyat_Agentliyi_%28Az%C9%99rbaycan%29,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Ekologiya_v%C9%99_T%C9%99bii_S%C9%99rv%C9%99tl%C9%99r_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0113,Milli Hidrometeorologiya Xidməti,organization,,state_service,https://az.wikipedia.org/wiki/Milli_Hidrometeorologiya_Xidm%C9%99ti,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ekologiya və Təbii Sərvətlər Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Ekologiya_v%C9%99_T%C9%99bii_S%C9%99rv%C9%99tl%C9%99r_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0114,Elm və Ali Təhsil üzrə Dövlət Agentliyi (Azərbaycan),organization,,agency,https://az.wikipedia.org/wiki/Elm_v%C9%99_Ali_T%C9%99hsil_%C3%BCzr%C9%99_D%C3%B6vl%C9%99t_Agentliyi_%28Az%C9%99rbaycan%29,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Elm_v%C9%99_T%C9%99hsil_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0115,Elm və Təhsil Nazirliyi (Azərbaycan),organization,,ministry,https://az.wikipedia.org/wiki/Elm_v%C9%99_T%C9%99hsil_Nazirliyi_%28Az%C9%99rbaycan%29,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Elm_v%C9%99_T%C9%99hsil_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0116,Peşə Təhsili üzrə Dövlət Agentliyi,organization,,agency,https://az.wikipedia.org/wiki/Pe%C5%9F%C9%99_T%C9%99hsili_%C3%BCzr%C9%99_D%C3%B6vl%C9%99t_Agentliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Elm_v%C9%99_T%C9%99hsil_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0117,Təhsildə Keyfiyyət Təminatı Agentliyi (Azərbaycan),organization,,agency,https://az.wikipedia.org/wiki/T%C9%99hsild%C9%99_Keyfiyy%C9%99t_T%C9%99minat%C4%B1_Agentliyi_%28Az%C9%99rbaycan%29,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Elm və Təhsil Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan_Elm_v%C9%99_T%C9%99hsil_Nazirliyi,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
