id,name,firm_type,registry_number,director,city,address,phones,email,community_id,lawyers_search_url,has_cabinets,source,source_url
customs-broker-028,"""Karvan Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,28,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-029,"""Delta-SP"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,29,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-030,"""Terminal-C"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,30,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-031,"""Ard Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,31,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-032,"""Eon Audit"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,32,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-033,"""Baku Customs Vvorks"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,33,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-034,"""Star Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,34,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-035,"""Cahan Broker "" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,35,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-036,"""Nort Vest Locistiks"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,36,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-037,"Aysl Of Man ""Dialog Freight Limited"" Şirkətiniin Azərbaycan Respublikasında filialı",customs_broker,37,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-038,"""Generation Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,38,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-039,"""Vip Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,39,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-040,"""Vings Logistics"" Məhdud Məsuliyyəti Cəmiyyəti",customs_broker,40,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-041,"""Uni Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,41,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-042,"""Mavri"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,42,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-043,"""Sinteks"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,43,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-044,"""Qafqaz Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,44,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-045,"""Erkam"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,45,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-046,"""Stock Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,46,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-047,"""Pad Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,47,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-048,"""Helper Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,48,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-049,"""Proff Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,49,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-050,"""First Broker Service"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,50,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-051,"""Garant Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,51,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-052,"Azərbaycan Respublikası Dövlət Gömrük Komitəsinin ""Azərterminalkompleks"" Birliyi",customs_broker,52,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-053,"""Ace Forvarding"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,53,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-054,"""Customs Broker Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,54,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-055,"""Micro Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,55,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-056,"""Almet Trading"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,56,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-057,"""Salam Logistics and Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,57,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-058,"""Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,58,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-059,"""Elios Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,59,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-060,"""Berc Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,60,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-061,"""Agalar Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,61,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-062,"""M.M. Logistics and Shipping"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,62,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-063,"""İmpex Port"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,63,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-064,"""Mobil Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,64,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-065,"""Hasan Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,65,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-066,"""Aqro-Vest DC"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,66,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-067,"""Sr Group Company"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,67,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-068,"""Mbm Group"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,68,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-069,"""İnteractive Brokers"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,69,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-070,"""Berc Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,70,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-071,"""East Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,71,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-072,"""Az İnternational Commercial and Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,72,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-073,"""Cj Icm Fzco"" şirkətinin Azərbaycan Respublikasındakı filialı",customs_broker,73,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-074,"""Meridian Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,74,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-075,"""Murphy Shipping and Commercial Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,75,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-076,"""Grand Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,76,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-077,"""Rm Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,77,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-078,"""İntransco "" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,78,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-079,"""Avtolüks Azərbaycan"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,79,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-080,"""Broker-İn"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,80,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-081,"""Əli və Nino Yayım"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,81,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-082,"""Retems Logistiks"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,82,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-083,"""Navis Project"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,83,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-084,"""Helper Shipping and Commercial Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,84,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-085,"""Xan Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,85,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-086,"""Arriver"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,86,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-087,"""Fortis Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,87,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-088,"""Caspian AS"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,88,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-089,"""Nəzrin-2020"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,89,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-090,"""Ekovays Locistiks Azərbaycan"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,90,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-091,"""Baku Electronics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,91,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-092,"""Complex Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,92,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-093,"""Globroker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,93,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-094,"""Air Cargo"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,94,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-095,"""Orbita-PE"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,95,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
